0,0.00,2.49
1,0.00,2.49
15,0.21,2.49
16,0.23,2.49
18,0.28,2.49
18,0.30,2.49
19,0.32,2.49
20,0.34,2.49
20,0.36,2.49
21,0.38,2.49
22,0.41,2.49
22,0.43,2.49
23,0.44,2.49
24,0.46,2.49
24,0.48,2.49
25,0.50,2.49
26,0.52,2.49
26,0.55,2.49
27,0.57,2.49
28,0.59,2.49
28,0.61,2.49
29,0.63,2.49
30,0.65,2.49
30,0.66,2.49
31,0.69,2.49
32,0.70,2.49
32,0.72,2.49
33,0.75,2.49
34,0.77,2.49
34,0.78,2.49
35,0.80,2.49
36,0.82,2.49
36,0.84,2.49
37,0.86,2.49
38,0.87,2.49
38,0.89,2.49
39,0.91,2.49
40,0.93,2.49
40,0.94,2.49
41,0.96,2.49
42,0.98,2.49
42,1.00,2.49
43,1.02,2.49
45,1.03,2.49
45,1.05,2.49
46,1.07,2.49
47,1.08,2.49
47,1.09,2.49
48,1.11,2.49
49,1.12,2.49
49,1.14,2.49
50,1.16,2.49
51,1.17,2.49
52,1.19,2.49
52,1.20,2.49
53,1.22,2.49
54,1.23,2.49
54,1.25,2.49
55,1.26,2.49
56,1.27,2.49
56,1.29,2.49
57,1.30,2.49
58,1.31,2.49
58,1.33,2.49
59,1.34,2.49
60,1.36,2.49
60,1.37,2.49
61,1.38,2.49
62,1.39,2.49
62,1.40,2.49
63,1.42,2.49
64,1.43,2.49
64,1.44,2.49
65,1.46,2.49
66,1.47,2.49
66,1.48,2.49
67,1.49,2.49
68,1.50,2.49
68,1.51,2.49
69,1.52,2.49
70,1.53,2.49
71,1.54,2.49
71,1.56,2.49
72,1.57,2.49
73,1.58,2.49
73,1.59,2.49
74,1.60,2.49
75,1.61,2.49
75,1.62,2.49
76,1.63,2.49
77,1.64,2.49
77,1.65,2.49
78,1.66,2.49
79,1.67,2.49
79,1.68,2.49
80,1.69,2.49
81,1.70,2.49
81,1.71,2.49
82,1.72,2.49
83,1.72,2.49
83,1.74,2.49
84,1.74,2.49
85,1.75,2.49
86,1.76,2.49
86,1.76,2.49
88,1.77,2.49
89,1.78,2.49
89,1.80,2.49
90,1.80,2.49
91,1.81,2.49
91,1.82,2.49
92,1.82,2.49
93,1.83,2.49
93,1.84,2.49
94,1.84,2.49
95,1.85,2.49
95,1.86,2.49
96,1.87,2.49
97,1.87,2.49
97,1.88,2.49
98,1.89,2.49
99,1.90,2.49
99,1.90,2.49
100,1.91,2.49
101,1.92,2.49
102,1.92,2.49
102,1.93,2.49
103,1.94,2.49
104,1.94,2.49
104,1.95,2.49
105,1.96,2.49
106,1.96,2.49
107,1.97,2.49
107,1.98,2.49
108,1.98,2.49
109,1.99,2.49
110,1.99,2.49
110,2.00,2.49
111,2.01,2.49
112,2.01,2.49
112,2.02,2.49
113,2.02,2.49
114,2.03,2.49
115,2.03,2.49
115,2.03,2.49
116,2.04,2.49
117,2.06,2.49
117,2.06,2.49
118,2.06,2.49
119,2.07,2.49
120,2.07,2.49
120,2.08,2.49
121,2.08,2.49
122,2.09,2.49
122,2.10,2.49
123,2.10,2.49
124,2.11,2.49
125,2.11,2.49
125,2.11,2.49
126,2.11,2.49
127,2.12,2.49
127,2.12,2.49
128,2.13,2.49
129,2.14,2.49
131,2.14,2.49
131,2.14,2.49
132,2.15,2.49
133,2.15,2.49
134,2.15,2.49
134,2.16,2.49
135,2.17,2.49
136,2.17,2.49
136,2.17,2.49
137,2.17,2.49
138,2.18,2.49
139,2.18,2.49
139,2.18,2.49
140,2.19,2.49
141,2.19,2.49
142,2.19,2.49
142,2.20,2.49
143,2.20,2.49
144,2.21,2.49
144,2.20,2.49
145,2.22,2.49
146,2.22,2.49
